Issue ID,Product,Description,Status,Extraction Time
"['830502', '900096']",Tableau Bridge,"When publishing or accessing a Tableau Online view that used the TableauServerUser variable with Tableau Bridge, a ""Cannot evaluate user filter"" or ""Unable to connect to the server"" error occurred.  Request is to support impersonation with Tableau Bridge.",Open,2023-02-08 09:32:45
['1478458'],Tableau Bridge,The second refresh could fail with an OAuth token error when using a multi-connection Bridge that includes Google Drive.,Open,2023-02-08 09:32:45
['1395120'],"Tableau Desktop, 
                              Tableau Server","When publishing a data source from Tableau Desktop version 2022.2 or higher to a lower version of Tableau Server such as 2022.1, an error would occur stating, ""An error occurred when publishing the data source. Cannot publish to Tableau Server.  Please make sure you are connected to a compatible version of the server."" For more information please see this  Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1420805'],Tableau Desktop,Row and column divider borders are thicker in the header than in the pane starting with version 2021.1.,Open,2023-02-08 09:32:45
['1440525'],"Tableau Cloud, 
                              Tableau Desktop",NULL values would remain in the Quick Filter when only NULL values are excluded in a dimension filter starting with 2022.2.0.,Open,2023-02-08 09:32:45
['1458909'],"Tableau Cloud, 
                              Tableau Desktop, 
                              Tableau Server","Queries of a virtual connection could be unsuccessful when included columns are renamed or removed from a database.  The workaround is to edit the virtual connection and replace or delete these columns, and then republish the virtual connection.",Open,2023-02-08 09:32:45
['1403071'],"Tableau Cloud, 
                              Tableau Desktop",Workbook utilizing a polygon map or territorial mapping has a hole or gap when published to Tableau Cloud or when opened in the latest version of Tableau Desktop.,Open,2023-02-08 09:32:45
['1224909'],Tableau Cloud,"When an alert is created on a MySQL data source, an error could result when using web authoring stating , ""Unable to create alert because there was an error connecting to the data source.""",Open,2023-02-08 09:32:45
['1127364'],"Tableau Cloud, 
                              Tableau Server","When an additional data source is added using web edit, there is no prompt for credentials.",Open,2023-02-08 09:32:45
"['1257638', '1276556']",Tableau Cloud,Page setup scaling options do not stay set when a workbook is download from Tableau Online 2021.1 via the user interface.,Open,2023-02-08 09:32:45
"['1392772', '1383768']",Tableau Cloud,Scheduled extract refreshes and subscriptions could be intermittently skipped.  No errors are presented when these jobs are not completed.,Open,2023-02-08 09:32:45
['1388839'],"Tableau Cloud, 
                              Tableau Server","In a project description when parenthesis are preceded by an upper case letter, the parenthesis and text within the parenthesis would not be displayed in the project tooltip.",Open,2023-02-08 09:32:45
['1369143'],Tableau Cloud,"On the Explore page list view for data sources, the last modified date could display an incorrect value.    The data source details page does have the correct last modified date.",Open,2023-02-08 09:32:45
['1357543'],Tableau Cloud,"When refreshing or connecting to Amazon Redshift in Tableau Online,  errors would sometimes display showing ""Error occurred while trying to prepare a query"" or ""[SQLState XX000] extraneous data in \""T\"" message.""   Amazon Redshift driver updated to 1.4.53.",Open,2023-02-08 09:32:45
['1352649'],Tableau Cloud,Okta SCIM could reset a user to a Viewer role when the name changed in Okta even when the site role was not configured to map to Tableau Online from Okta.,Open,2023-02-08 09:32:45
['1411816'],"Tableau Cloud, 
                              Tableau Server",The sort order of a calculated field could be changed or duplicated after replacing the published data source using the REST API.,Open,2023-02-08 09:32:45
['1425643'],Tableau Cloud,"When attempting to refresh a Google Analytics data source in Tableau Cloud, the refresh is sent to Tableau Bridge instead of connecting directly from Tableau Cloud.",Open,2023-02-08 09:32:45
['1439091'],Tableau Cloud,Virtual Connection updates are not reflected in related Data Sources.,Open,2023-02-08 09:32:45
['1441970'],"Tableau Cloud, 
                              Tableau Server","When loading a dashboard that contains a web object to a web page that has a text box, the cursor goes to the text box and the user is sent to the bottom of the dashboard on load instead of staying at the top of the dashboard causing the need to scroll up.",Open,2023-02-08 09:32:45
['1431798'],"Tableau Cloud, 
                              Tableau Server",It is not possible to export a specific sheet using the JavaScript showExportDataDialog function starting with version 2022.1. For more information see this Tableau Knowledge Base article.,Open,2023-02-08 09:32:45
['1440311'],Tableau Cloud,It is not possible to create an extract for a Google BigQuery virtual connection.,Open,2023-02-08 09:32:45
"['1429332', '1461663']",Tableau Cloud,"It is not possible to connect to a Presto DB server that is using SSL with Tableau Cloud but Tableau Desktop can connect.  The error received in Tableau Cloud is ""[Simba][Presto] (1020)...Peer certificate cannot be authenticated with given CA certificates.""",Open,2023-02-08 09:32:45
['1470029'],"Tableau Cloud, 
                              Tableau Server","Quickbooks Online extracts could fail to refresh with error, ""No realm ID is detected"", when using saved credentials for the data connection starting with Tableau Server 2022.3 and on Tableau Cloud. For more information see the Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1465152'],Tableau Cloud,"Saml-enabled Tableau Cloud users may be unable to login because the password field displays instead of being redirected to the IdP. For more information, please see this Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1470516'],Tableau Cloud,"When provisioning an Azure AD user that was initially set as ""unlicensed"", the user could become a ""Viewer"" after a sync job was run with Tableau Cloud.",Open,2023-02-08 09:32:45
['1460581'],Tableau Cloud,"When attempting to save a token in the Okta Admin Console, the following error occurs, ""Error authenticating scim.online.tableau.com:443 failed to respond.""",Open,2023-02-08 09:32:45
['1372696'],Tableau Cloud,"With a Box data source that is not published but connected directly from a flow and placed in the input steps of the flow, the flow can intermittently fail with ""System error: 'Authentication failed'"".",Open,2023-02-08 09:32:45
['1493086'],Tableau Cloud,Assigning permissions to content when locking a project are not always reflected for Explorer or Viewer users.,Open,2023-02-08 09:32:45
"['1497952', '1498157']","Tableau Cloud, 
                              Tableau Server","When accessing a Salesforce Lightning page with a Tableau dashboard embedded view, the error ""Cannot read properties of null (reading 'width')"" can occur.",Open,2023-02-08 09:32:45
"['1079300', '1204939']",Tableau Prep,"In Write to Database, if the database or schema does not have any tables (it is empty), navigating to the schema or database will not be possible. The schema needs to have at least one table created to be visible for selection.",Open,2023-02-08 09:32:45
['1349155'],Tableau Prep,"When a user had a Google Drive enabled for their Tableau Prep Repository folder, they would not be unable to delete ""Recovered Flows"" from the Prep Builder UI. The workaround is to turn off Google Drive sync and manually delete the folders in the My Tableau Prep Repository/Recovered Flows directory.",Open,2023-02-08 09:32:45
['1439910'],Tableau Prep,The list of tables when connected to a PostgreSQL database would not show all the tables if there were more than 16384 tables.,Open,2023-02-08 09:32:45
['1481189'],Tableau Prep,"Starting in 2022.4, when you attempt to drag and drop to replace an input step that has no steps attached, the replace drop target does not appear.",Open,2023-02-08 09:32:45
['1488419'],Tableau Prep,"Starting with 2022.4, using Redshift and Vertica data and writing to the external database, a user cannot select a schema.  It is still possible to load and run existing flows that output to these data sources.",Open,2023-02-08 09:32:45
['1487701'],"Tableau Prep, 
                              Tableau Server","Starting with 2022.4, some Prep flows with queries to Salesforce tables can fail with the error ""System error: An error occurred while communicating with data source 'LoomDataSource'"".",Open,2023-02-08 09:32:45
['1465501'],Tableau Prep,The date of 1899/12/30 could be in the output file of a clean step after changing a string to a date format when connected to a published data source when the Tableau Server is using a non-English operating system.,Open,2023-02-08 09:32:45
['1492828'],Tableau Prep,Calculated fields using the Partition function are missing after running a Tableau Prep flow in version 2022.4.,Open,2023-02-08 09:32:45
['1020860'],Tableau Server,"When multiple keys are activated on Tableau Server, registration data may not be available in the Tableau Customer Portal for all keys.",Open,2023-02-08 09:32:45
['1375761'],Tableau Server,Taking a backup while using the --multithreaded flag would cause a file handle leak on Windows resulting in high cpu usage for the WMI process.,Open,2023-02-08 09:32:45
['1406167'],Tableau Server,The browser Options menu would not display when performing a right-click in the filter search box on Tableau Server 2021.2 and newer.,Open,2023-02-08 09:32:45
['1376192'],Tableau Server,Changing the input parameters of a SAP HANA data source and republishing the change to Tableau Server does not show the changes when opening a workbook from Tableau Server that connects to this updated data source.,Open,2023-02-08 09:32:45
['1427637'],Tableau Server,"Running ""tabcmd refreshextracts"" with the ""-addcalculations"" flag caused the error, ""SQLSTATE:58S01"" and ""Hyper was unable to resolve the database file path"".  This error occurred in versions 2021.2 and higher, but does not occur in 2020.4 or 2021.1.",Open,2023-02-08 09:32:45
['1422395'],Tableau Server,"It would not be possible to search users or groups on the permission for content edit screen where the username or group include some Japanese characters (dakuten, handankuten).",Open,2023-02-08 09:32:45
['1378369'],Tableau Server,"When using the ATR activation method on Linux, it is possible for the activation server to crash and Tableau Server to become unlicensed.",Open,2023-02-08 09:32:45
['1400801'],Tableau Server,Error code 305B73A6 can occur when dragging and dropping a dimension and using a BigQuery Virtual Connection.,Open,2023-02-08 09:32:45
"['1234439', '1463599']",Tableau Server,Tableau Server on Linux can become unexpectedly unlicensed when not using the ATR activation method.  More information is available in this Tableau Knowledge Base article.,Open,2023-02-08 09:32:45
['1431834'],Tableau Server,A Vizql service crash would occur when opening a workbook with an MSAS OLAP cube data source using driver version 15 or 16 in Tableau Server starting in 2022.1. Further information is available in this Knowledge Base article.,Open,2023-02-08 09:32:45
['1459956'],Tableau Server,"When Tableau Server is activated via the ATR activation service, LBLM licensing on Tableau Desktop and Tableau Prep could fail with ""No seat capacity found for Login-based License Management"" with versions 2021.2.15 and newer, and 2021.3.13 and newer, but not 2021.4 or 2022.1.",Open,2023-02-08 09:32:45
['1424364'],Tableau Server,"In External Actions, after choosing ""Add a constant"" in the map fields dialog, it is not possible to switch to another option.",Open,2023-02-08 09:32:45
['1474725'],Tableau Server,"Starting with 2022.3, when Guest access is enabled on a Tableau Server with Core licensing, the Data Orientation pane is available for embedded users, including the Guest user. For more information, please view this Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1477190'],Tableau Server,"Starting with version 2022.3, the TSM UI shows a new service, the ""Connection Pooling Service"", which is not configurable or functionally available yet. Please see this Tableau Knowledge Base article for more information.",Open,2023-02-08 09:32:45
['1316530'],Tableau Server,"Tableau Server is incompatible with Windows Server 2022. For more information, see this Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1478663'],Tableau Server,The date axis scale shows a different date after publishing to Tableau Server when using server rendering mode and the range of dates is set to a period of two days.,Open,2023-02-08 09:32:45
['1435700'],Tableau Server,"With client rendering, the column band shading could display incorrectly.",Open,2023-02-08 09:32:45
['1429870'],Tableau Server,The Tableau Prep Conductor process could be in a STATUS_UNAVAILABLE state due to an inability to obtain the license state.,Open,2023-02-08 09:32:45
['1440048'],Tableau Server,Tableau Actions could not execute a flow that contained a Collection Variable input type of Currency.,Open,2023-02-08 09:32:45
"['1491277', '1468474']",Tableau Server,"When creating a new subscription but there is already a similar subscription that differs only by the optional ""message"" field, the Tableau Server response implies a new subscription is created with the new message but in fact, the new subscription is not created.",Open,2023-02-08 09:32:45
['1470344'],Tableau Server,"In a high-availability configuration, a scheduled flow could intermittently fail when the Filestore is unavailable on one of the additional nodes.",Open,2023-02-08 09:32:45
['1491299'],Tableau Server,"If the Content Security Policy (CSP) reporting or enforcement was enabled, the GraphiQL page might not load or the browser console might display some Content Security Policy directive errors.",Open,2023-02-08 09:32:45
['1491616'],Tableau Server,"The REST API call to ""Run Flow now"" could fail with the error ""Resource not found"".",Open,2023-02-08 09:32:45
['1492598'],Tableau Server,"When running the flow on Tableau Server, the following error can occur ""Comparison method violates its general contract! System error.""  The flow does not fail when run on Tableau Prep.",Open,2023-02-08 09:32:45
['1472324'],Tableau Server,Running a flow with MAKEDATETIME is not working as expected.,Open,2023-02-08 09:32:45
['1497643'],Tableau Server,"After an upgrade to 2022.3, an embedded dashboard can stop working due to a redirect to the wrong URL using an incorrect port number.  This only presents when terminating SSL connections are at the reverse proxy or load balancer. If external SSL is enabled on Tableau Server, then this problem will not occur.",Open,2023-02-08 09:32:45
['1420863'],Tableau Advanced Management,"When uninstalling the Resource Monitoring Tool agent on Windows, the setup process would fail with the error: ""One or more issues caused the setup to fail. Please fix the issues and then retry setup."" More information is available in this Tableau Knowledge Base article.",Open,2023-02-08 09:32:45
['1068267'],Tableau Cloud,"When a scheduled extract refresh of a Quickbooks Online data source runs on Tableau Online, the following error occurs intermittently: ""Intuit API Authentication error: Invalid authentication tokens. Login again and retry.""",Open,2023-02-08 09:32:45
['1450859'],Tableau Server,"In External Actions, if a dashboard is published with a configuration error in the extension, in View mode, there will be no error and the button will never become enabled.",Open,2023-02-08 09:32:45
['1411990'],Tableau Server,"When a workbook is opened, the dynamic parameters would not load a 'datetrunc' value.",Open,2023-02-08 09:32:45
"['1431254', '1438340']",Tableau Server,"Duplicate records could display on the data preview pane, download data button from data preview pane, Rest API, Tabcmd, and the Viz url with "":format=CSV"" parameter.",Open,2023-02-08 09:32:45
[''],Tableau Mobile,"Admins can now specify a browser - such as Microsoft Edge - to handle the Conditional Access checks under certain conditions. For more information, check out the Override the default browser used for authentication section of the Control Authentication and Access for Tableau Mobile.","Fixed in: 






            
2023.123.6850",2023-02-08 09:32:45
['1391701'],Tableau Desktop,Alias for a calculated field value reverts to default when removing and re-adding a data source table.,"Fixed in: 






            
2022.3.3
2022.2.6
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
"['1364581', '1379361', '1470508']",Tableau Desktop,"On Tableau Desktop when attempting to browse published data sources on Tableau Server, an error could result stating ""Your session timed out. Reopen the dialog to connect.""","Fixed in: 






            
2022.3.3
2022.2.6",2023-02-08 09:32:45
['1486015'],Tableau Desktop,"When adding a filter from Dimensions and selecting a random value from that Dimension, the following error was received:
Unable to complete action
Type doesn't match the expected type
Error Code: 58D44822","Fixed in: 






            
2022.3.3",2023-02-08 09:32:45
['1479169'],"Tableau Cloud, 
                              Tableau Server","When removing a user and the user is not showing to own any content, the following error could display, ""User could not be deleted because they own content.""  The error can occur when the user had previously edited a Prep flow and saved the change as a draft.  There is a flow remaining in a draft state.  Cloud is resolved as of 1/12/2023.","Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1468102'],"Tableau Prep, 
                              Tableau Server","When using the output to database option for Amazon Redshift, MySQL, Pivotal Greenplum Database, and PostgreSQL in a Prep flow, a log statement was created that contained information about the output data.","Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1472254'],Tableau Prep,"When launching Tableau Prep 2022.3, the prompt to sign in to Tableau Cloud or Tableau Server would occur each time.","Fixed in: 






            
2022.3.3",2023-02-08 09:32:45
['1472324'],Tableau Prep,Running a flow with MAKEDATETIME was not working as expected.,"Fixed in: 






            
2022.3.3",2023-02-08 09:32:45
['1491641'],Tableau Prep,"In version 2022.4, Prep could fail to load data from a local .hyper file.","Fixed in: 






            
2022.4.1",2023-02-08 09:32:45
['1474850'],Tableau Server,Some customers were unable to establish LDAPS connections between Tableau Server and the identity store after upgrading to the October maintenance release.,"Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1484409'],Tableau Server,"When adding a comment that mentions a user in a view, the mention mail has ""{1}"" and ""{2}"" characters in error with the Japanese language set.","Fixed in: 






            
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1474466'],Tableau Server,Frequent failures of Elasticsearch (2021.4 or prior) and OpenSearch (Index & Search Server 2022.1 or newer) processes cause Ask Data outages and Passive status in TSM.,"Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1444084'],Tableau Server,A published view on Tableau Server would not show any data with some calculated fields containing a date calculation but the view displays correctly on Tableau Desktop.,"Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1440993'],Tableau Server,"When using the Add Project Permissions REST API  (""/api/../projects/project-id/permissions"") to add a group's permission to a locked parent project, the permissions do not cascade to the children projects.","Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1493146'],Tableau Server,Updated Tableau Server cloud-file connectors to be in line with best practices.,"Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23",2023-02-08 09:32:45
['1477801'],Tableau Server,"GraphQL MetaData API query returned a ""Null"" value for the folderName attribute when using a Tableau auto-generated field created in a custom folder.","Fixed in: 






            
2021.3.20
2021.2.21",2023-02-08 09:32:45
['1447040'],Tableau Server,"When configured with the ATR activation service, Tableau Server HA does not have a grace period if the initial node goes down.","Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15",2023-02-08 09:32:45
['1431244'],Tableau Server,"On RedHat, CentOS, and Oracle Linux, when initializing TSM, the tabadmincontroller could crash which would not allow an installation to complete.  All Intel(R) Xeon(R) Gold/Silver CPU platforms are impacted.  The error, ""Operation Error
One or more control plane services(s) are in a non-active state. Run tsm status -v for more information. Services:tabadmicontroller. Status : Down.
Error : TSM Services returned status 10"" would display.","Fixed in: 






            
2022.3.3
2022.1.11
2021.4.15",2023-02-08 09:32:45
['1473183'],Tableau Server,"In the REST API for filtering, the Query Datasource calling projectName would not display any results after upgrading to 2022.1.6.","Fixed in: 






            
2022.3.3
2022.1.11",2023-02-08 09:32:45
['1461452'],Tableau Server,SAP HANA input parameters would prompt every time a sheet was changed.,"Fixed in: 






            
2022.3.3
2022.1.11",2023-02-08 09:32:45
['1491266'],Tableau Server,Tableau Server upgrade to 2022.3 was requiring a minimum of 64GB of memory on additional nodes instead of the documented 16GB.,"Fixed in: 






            
2022.3.3",2023-02-08 09:32:45
['1492305'],Tableau Server,"It would not be possible to view the ""Stats for Space Usage"" Admin view and the error would display, ""Forbidden Action. To access this workbook, you must have the Connect permission for its data source.""","Fixed in: 






            
2022.3.3",2023-02-08 09:32:45
['1453781'],Tableau Server,"The number of ""All Users"" displayed on Groups, was one greater than the actual number.","Fixed in: 






            
2022.3.3",2023-02-08 09:32:45
